产品分类,产品名称,被抽样企业名称,通报单位,抽检结果,通报时间,通报文号,规格,商标,生产企业名称,生产企业地址,被抽样企业名称,被抽样企业地址,通报单位,生产省份,通报时间,不合格原因,检测结果,标准/法规限值,措施,判定结果,备注,伙伴网链接,抽检层级,网站
食用油脂及其制品-->食用植物油,芝麻香油,北安润泰商业有限公司,黑龙江市场监管局,合格,2015-02-04,,350ml/瓶,鲁花,莱阳鲁花浓香花生油,,北安润泰商业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476587
食用油脂及其制品-->食用植物油,大豆油,青岛润泰事业有限公司,黑龙江市场监管局,合格,2015-02-04,,5L/桶,鲁花,阜新鲁花浓香花生油,,青岛润泰事业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476588
食用油脂及其制品-->食用植物油,纯香大豆油,青岛润泰事业有限公司,黑龙江市场监管局,合格,2015-02-04,,5L/桶,五湖,沈阳苍达粮油有限公司（分装）,,青岛润泰事业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476589
食用油脂及其制品-->食用植物油,甾醇玉米油,青岛润泰事业有限公司,黑龙江市场监管局,合格,2015-02-04,,1.8L/桶,多力,上海佳格食品有限公司内蒙古分公司,,青岛润泰事业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476590
食用油脂及其制品-->食用植物油,金玉米油,青岛润泰事业有限公司,黑龙江市场监管局,合格,2015-02-04,,1.8L/桶,佳乐宝,天成玉米开发有限公司,,青岛润泰事业有限公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476591
食用油脂及其制品-->食用植物油,精炼一级大豆油,建三江管理局家乐购,黑龙江市场监管局,合格,2015-02-04,,900ml/瓶,金龙鱼,益海嘉里（哈尔滨）粮油食品工业有限公司,,建三江管理局家乐购,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476592
食用油脂及其制品-->食用植物油,小磨香油,绥化市华辰商贸有限公司银都分公司,黑龙江市场监管局,合格,2015-02-04,,225ml/瓶,秦味佳,陕西秦味佳调味食品,,绥化市华辰商贸有限公司银都分公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476597
食用油脂及其制品-->食用植物油,芝麻油,绥化市华辰商贸有限公司银都分公司,黑龙江市场监管局,合格,2015-02-04,,220ml/瓶,畅达,乐陵市天香食品,,绥化市华辰商贸有限公司银都分公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476598
食用油脂及其制品-->食用植物油,玉米胚芽油,绥化市华辰商贸有限公司银都分公司,黑龙江市场监管局,合格,2015-02-04,,1.8L/桶,北冰花,大庆九洲玉米加工,,绥化市华辰商贸有限公司银都分公司,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=476599
食用油脂及其制品-->食用植物油,纯正菜籽油,成都市青白江区红旗油脂有限公司,山东市场监管局,合格,2015-02-11,,4.5升/桶,鄉佬坎,青州市云门山街道益康粮油店,青州市海天市场A楼13号,成都市青白江区红旗油脂有限公司,成都市青白江区城厢镇金川村,山东市场监管局,,2015-02-11,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477902
